market,currency,slug,category,packLabel,indiaRetailInr,indiaFloruviInr,rate,localRetailEstimate,floruviPrice,basis
uz,UZS,sunflower-shoots,microgreens,"50 g",79.00,110.60,208.19444,16447.36,23500.00,"produce median"
uz,UZS,mustard-microgreens,microgreens,"50 g",200.00,280.00,208.19444,41638.89,58500.00,"produce median"
uz,UZS,red-cabbage-microgreens,microgreens,"50 g",179.00,250.60,208.19444,37266.80,52500.00,"produce median"
uz,UZS,kale-microgreens,microgreens,"50 g",179.00,250.60,208.19444,37266.80,52500.00,"produce median"
uz,UZS,arugula-microgreens,microgreens,"25 g",170.00,238.00,208.19444,35393.05,50000.00,"produce median"
uz,UZS,beet-microgreens,microgreens,"50 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,amaranth-microgreens,microgreens,"50 g",250.00,350.00,208.19444,52048.61,73000.00,"produce median"
uz,UZS,basil-microgreens,microgreens,"25 g",160.00,224.00,208.19444,33311.11,47000.00,"produce median"
uz,UZS,coriander-microgreens,microgreens,"50 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,fenugreek-microgreens,microgreens,"50 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,wheatgrass,microgreens,"250 g",300.00,420.00,208.19444,62458.33,87500.00,"produce median"
uz,UZS,kohlrabi-microgreens,microgreens,"50 g",179.00,250.60,208.19444,37266.80,52500.00,"produce median"
uz,UZS,garden-cress-microgreens,microgreens,"50 g",179.00,250.60,208.19444,37266.80,52500.00,"produce median"
uz,UZS,cherry-tomatoes,fruiting-crops,"250 g",110.00,154.00,181.72727,19990.00,28000.00,"own median of 1"
uz,UZS,beefsteak-tomatoes,fruiting-crops,"250 g",220.00,308.00,208.19444,45802.78,64500.00,"produce median"
uz,UZS,plum-tomatoes,fruiting-crops,"250 g",220.00,308.00,208.19444,45802.78,64500.00,"produce median"
uz,UZS,cucumber,fruiting-crops,"500 g",60.00,84.00,208.19444,12491.67,17500.00,"own median of 1"
uz,UZS,bell-peppers,fruiting-crops,"3 peppers · mixed colours",250.00,350.00,106.5144,26628.60,37500.00,"own median of 2"
uz,UZS,green-chillies,fruiting-crops,"100 g",25.00,35.00,208.19444,5204.86,7500.00,"produce median"
uz,UZS,jalapeno-peppers,fruiting-crops,"200 g",65.00,91.00,208.19444,13532.64,19000.00,"produce median"
uz,UZS,strawberries,fruiting-crops,"250 g",250.00,350.00,303.92,75980.00,106500.00,"own median of 1"
uz,UZS,eggplant,fruiting-crops,"250 g",40.00,56.00,208.19444,8327.78,12000.00,"produce median"
uz,UZS,zucchini,fruiting-crops,"150–200 g",57.00,79.80,115.05482,6558.12,9500.00,"own median of 1"
uz,UZS,muskmelon,fruiting-crops,"1 melon",190.00,266.00,208.19444,39556.94,55500.00,"produce median"
uz,UZS,green-beans,fruiting-crops,"250 g",76.00,106.40,208.19444,15822.78,22500.00,"produce median"
uz,UZS,spring-onions,roots-and-stems,"1 bunch · 225–250 g",100.00,140.00,208.19444,20819.44,29500.00,"produce median"
uz,UZS,celery,roots-and-stems,"250 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,radish,roots-and-stems,"1 bunch · 450–500 g",100.00,140.00,208.19444,20819.44,29500.00,"produce median"
uz,UZS,beetroot,roots-and-stems,"250 g",45.00,63.00,138.77778,6245.00,9000.00,"own median of 1"
uz,UZS,carrot,roots-and-stems,"250 g",50.00,70.00,104.09722,5204.86,7500.00,"own median of 2, limited"
uz,UZS,ginger,roots-and-stems,"250 g",85.00,119.00,208.19444,17696.53,25000.00,"produce median"
uz,UZS,turmeric,roots-and-stems,"250 g",65.00,91.00,208.19444,13532.64,19000.00,"produce median"
uz,UZS,potato,roots-and-stems,"1 kg",80.00,112.00,237.375,18990.00,27000.00,"own median of 1"
uz,UZS,nasturtium-flowers,edible-flowers,"15–20 flowers",350.00,490.00,208.19444,72868.05,102500.00,"produce median"
uz,UZS,viola-flowers,edible-flowers,"40 g",250.00,350.00,208.19444,52048.61,73000.00,"produce median"
uz,UZS,pansy-flowers,edible-flowers,"40 g",250.00,350.00,208.19444,52048.61,73000.00,"produce median"
uz,UZS,calendula-petals,edible-flowers,"40 g",250.00,350.00,208.19444,52048.61,73000.00,"produce median"
uz,UZS,borage-flowers,edible-flowers,"40 g",250.00,350.00,208.19444,52048.61,73000.00,"produce median"
uz,UZS,radish-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
uz,UZS,pea-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
uz,UZS,sunflower-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
uz,UZS,broccoli-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
uz,UZS,fenugreek-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
uz,UZS,red-amaranth-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,261.46154,33990.00,48000.00,"own median of 1"
